striker,bowling_team,runs_scored,balls_faced,dismissals,strike_rate,average
AR Nurse,Australia,19,18,0,105.55555555555556,
AR Nurse,Bangladesh,48,56,4,85.71428571428571,12.0
AR Nurse,England,154,128,6,120.3125,25.666666666666668
AR Nurse,India,84,93,7,90.32258064516128,12.0
AR Nurse,Ireland,10,14,0,71.42857142857143,
AR Nurse,New Zealand,31,58,4,53.44827586206896,7.75
AR Nurse,Pakistan,88,72,2,122.22222222222223,44.0
AR Nurse,Scotland,5,8,1,62.5,5.0
AR Nurse,Sri Lanka,7,9,1,77.77777777777779,7.0
AR Nurse,Zimbabwe,8,8,0,100.0,
AR Patel,Australia,36,44,3,81.81818181818183,12.0
AR Patel,Bangladesh,137,127,6,107.87401574803151,22.833333333333332
AR Patel,England,1,6,2,16.666666666666664,0.5
AR Patel,New Zealand,79,83,4,95.18072289156626,19.75
AR Patel,South Africa,37,50,2,74.0,18.5
AR Patel,Sri Lanka,95,100,4,95.0,23.75
AR Patel,West Indies,86,66,2,130.3030303030303,43.0
AR Patel,Zimbabwe,10,17,2,58.82352941176471,5.0
AR Pitcher,Kenya,30,55,1,54.54545454545454,30.0
AR White,Australia,10,35,2,28.57142857142857,5.0
AR White,Bangladesh,38,86,3,44.18604651162791,12.666666666666666
AR White,Canada,15,23,2,65.21739130434783,7.5
AR White,England,79,85,3,92.94117647058823,26.333333333333332
AR White,India,13,40,2,32.5,6.5
AR White,Kenya,38,55,2,69.0909090909091,19.0
AR White,New Zealand,0,4,1,0.0,0.0
AR White,Pakistan,4,3,1,133.33333333333331,4.0
AR White,Scotland,7,18,2,38.88888888888889,3.5
AR White,South Africa,33,35,2,94.28571428571428,16.5
AR White,West Indies,18,30,1,60.0,18.0
AR White,Zimbabwe,46,84,2,54.761904761904766,23.0
AS Hansra,Australia,3,4,1,75.0,3.0
AS Hansra,Ireland,54,102,4,52.94117647058824,13.5
AS Hansra,Kenya,94,147,2,63.94557823129252,47.0
AS Hansra,Netherlands,0,6,2,0.0,0.0
AS Hansra,New Zealand,70,109,0,64.22018348623854,
AS Hansra,Pakistan,43,76,1,56.57894736842105,43.0
AS Hansra,Scotland,2,3,1,66.66666666666666,2.0
AS Hansra,Sri Lanka,9,50,1,18.0,9.0
AS Hansra,Zimbabwe,20,41,1,48.78048780487805,20.0
AS Joseph,Afghanistan,28,45,1,62.22222222222222,28.0
AS Joseph,Australia,37,90,2,41.11111111111111,18.5
AS Joseph,Bangladesh,69,74,3,93.24324324324324,23.0
AS Joseph,England,22,13,0,169.23076923076923,
AS Joseph,India,83,143,4,58.04195804195804,20.75
