striker,venue,runs_scored,balls_faced,dismissals,strike_rate,average
A Mithun,"Sardar Patel Stadium, Motera",47,40,2,117.5,23.5
A Nao,Central Broward Regional Park Stadium Turf Ground,5,3,0,166.66666666666669,
A Nao,Dubai International Cricket Stadium,8,10,2,80.0,4.0
A Nao,Harare Sports Club,3,5,0,60.0,
A Nao,ICC Academy,2,2,0,100.0,
A Nao,Old Hararians,1,2,0,50.0,
A Nao,Sharjah Cricket Stadium,2,4,1,50.0,2.0
A Nao,Sheikh Zayed Stadium,8,8,0,100.0,
A Nao,"Tribhuvan University International Cricket Ground, Kirtipur",2,6,1,33.33333333333333,2.0
A Nao,"Wanderers Cricket Ground, Windhoek",23,31,3,74.19354838709677,7.666666666666667
A Nehra,Arun Jaitley Stadium,1,9,1,11.11111111111111,1.0
A Nehra,"Davies Park, Queenstown",0,10,1,0.0,0.0
A Nehra,Edgbaston,0,2,1,0.0,0.0
A Nehra,Harare Sports Club,0,2,1,0.0,0.0
A Nehra,Kingsmead,1,8,1,12.5,1.0
A Nehra,Lord's,2,2,0,100.0,
A Nehra,Nehru Stadium,4,18,2,22.22222222222222,2.0
